Method,Client,Task,# Experts,% Param,Final Accuracy (%),Final Loss,History path
FedLEASE (Ours),8,MRPC,5,,87.00000047683716,0.452972948551178,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),9,QQP,5,,79.00000214576721,0.6357688307762146,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),10,QQP,5,,82.99999833106995,0.5045709609985352,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLEASE (Ours),11,QQP,5,,82.99999833106995,0.5474538207054138,/content/FedLEASE_ref/runs/fedlease_12clients_lr3e4_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,0,SST-2,4,,89.49999809265137,0.29398250579833984,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,1,SST-2,4,,85.00000238418579,0.4275040328502655,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,2,SST-2,4,,88.99999856948853,0.3007560670375824,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,3,QNLI,4,,67.00000166893005,0.7030917406082153,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,4,QNLI,4,,74.50000047683716,0.5725954174995422,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,5,QNLI,4,,79.00000214576721,0.5494202971458435,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,6,MRPC,4,,83.49999785423279,0.39943450689315796,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,7,MRPC,4,,75.49999952316284,0.489477276802063,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,8,MRPC,4,,81.99999928474426,0.41849324107170105,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,9,QQP,4,,87.00000047683716,0.32968559861183167,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,10,QQP,4,,83.99999737739563,0.4414308965206146,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-1,11,QQP,4,,79.50000166893005,0.4963723421096802,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top1_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,0,SST-2,4,,93.99999976158142,0.25951728224754333,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,1,SST-2,4,,93.00000071525574,0.380266010761261,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
Top-3,2,SST-2,4,,96.49999737739563,0.16659238934516907,/content/FedLEASE_ablation/runs/ablation_12clients_fixed_top3_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
